x(m),y(m),z(m),dtr(m)
-2.418247481941370759e+06,5.385760240252519026e+06,2.405764458658071235e+06,-2.807370721868786030e+06
-2.418246939001565333e+06,5.385758961178225465e+06,2.405763993451397400e+06,-2.807365448897732422e+06
-2.418246784016540740e+06,5.385758485341332853e+06,2.405763783500305843e+06,-2.807359472213604487e+06
-2.418247005953389220e+06,5.385757454098745249e+06,2.405763413786794525e+06,-2.807353876641141716e+06
-2.418247563706111629e+06,5.385758039428961463e+06,2.405763478106281720e+06,-2.807346907473868690e+06
-2.418247351530041546e+06,5.385756797047330067e+06,2.405763236382234842e+06,-2.807341409538252745e+06
-2.418247395230551716e+06,5.385756258088624105e+06,2.405762989639583509e+06,-2.807335503306521103e+06
-2.418247562968613580e+06,5.385756805218781345e+06,2.405763202813178767e+06,-2.807328904223614838e+06
-2.418247025836073328e+06,5.385756005593113601e+06,2.405762803227067925e+06,-2.807323476537209004e+06
-2.418247081243937835e+06,5.385758038314979523e+06,2.405763983762439340e+06,-2.807315568605162669e+06
-2.418246650980123784e+06,5.385758335333519615e+06,2.405764270614339504e+06,-2.807309026128666941e+06
-2.418246230754472781e+06,5.385757690778930672e+06,2.405763699863791000e+06,-2.807303541879160330e+06
-2.418245965660068206e+06,5.385757283917883411e+06,2.405763354487391654e+06,-2.807297671295680571e+06
-2.418246137901531532e+06,5.385756842941270210e+06,2.405763654060362838e+06,-2.807291414621659555e+06
-2.418245749102188274e+06,5.385756132787127048e+06,2.405763305714530870e+06,-2.807285696022615768e+06
-2.418245812628644519e+06,5.385756737211853266e+06,2.405763587178040762e+06,-2.807278898783623241e+06
-2.418245315034265630e+06,5.385756763326168060e+06,2.405763701341908425e+06,-2.807272625494926237e+06
-2.418244927382352296e+06,5.385756427420055494e+06,2.405763421744521242e+06,-2.807266793897320516e+06
-2.418245159938170109e+06,5.385756640861744061e+06,2.405763539722828194e+06,-2.807260266433007084e+06
-2.418245347420497332e+06,5.385754615060329437e+06,2.405762293298790231e+06,-2.807255659653324168e+06
-2.418245679597850423e+06,5.385753068806583062e+06,2.405761430937501602e+06,-2.807250539896334987e+06
-2.418245519474163186e+06,5.385753370310269296e+06,2.405761655164218973e+06,-2.807244074673192576e+06
-2.418245376294642687e+06,5.385753201045746915e+06,2.405761631275249645e+06,-2.807237787480720319e+06
-2.418245344985520933e+06,5.385752844176765531e+06,2.405761326547943056e+06,-2.807231759938791860e+06
-2.418245217463227920e+06,5.385753025913805701e+06,2.405761446663517971e+06,-2.807225308290058281e+06
-2.418245238663848490e+06,5.385752811049474403e+06,2.405761092330574989e+06,-2.807219201473854017e+06
-2.418245456529699732e+06,5.385753030343219638e+06,2.405761125311220065e+06,-2.807212645993240643e+06
-2.418245226680852938e+06,5.385751516906790435e+06,2.405760558490301482e+06,-2.807207455330098048e+06
-2.418245215083458461e+06,5.385751495777130127e+06,2.405760677302272525e+06,-2.807201016257592477e+06
-2.418245126634294167e+06,5.385751215277444571e+06,2.405760462947236374e+06,-2.807194868254864588e+06
-2.418244614855418913e+06,5.385750326175703667e+06,2.405760472167246509e+06,-2.807189204883214086e+06
-2.418244737084316555e+06,5.385749981316805817e+06,2.405760261597905774e+06,-2.807183204441715963e+06
-2.418244850762114394e+06,5.385750617541064508e+06,2.405760527679791208e+06,-2.807176439347392414e+06
-2.418245004246179480e+06,5.385751344250174239e+06,2.405760682272144128e+06,-2.807169581994278822e+06
-2.418245078072761185e+06,5.385751206619809382e+06,2.405760619584080297e+06,-2.807163225621806923e+06
-2.418245360044919420e+06,5.385751856099264696e+06,2.405760590181664098e+06,-2.807156361518868245e+06
-2.418245426794915460e+06,5.385751765693738125e+06,2.405760528212617617e+06,-2.807150081686512567e+06
-2.418245683255059645e+06,5.385752075392824598e+06,2.405760596577486489e+06,-2.807143443219868001e+06
-2.418245438737346791e+06,5.385751414496291429e+06,2.405760446143820416e+06,-2.807137436223086435e+06
-2.418245568297897931e+06,5.385751855407859199e+06,2.405760569419051986e+06,-2.807130722505028825e+06
-2.418245279861900955e+06,5.385751639672696590e+06,2.405760194847337902e+06,-2.807124652656199876e+06
-2.418245258921833243e+06,5.385751649297519587e+06,2.405760218237386551e+06,-2.807118238228356000e+06
