lat(deg),lon(deg),h(m)
2.230468271146349934e+01,1.141804477622526122e+02,3.515482686547622393e+01
2.230468258775353974e+01,1.141804497418977178e+02,3.501604996404999781e+01
2.230468642395312884e+01,1.141804516216371184e+02,3.518440904826823612e+01
2.230468565130987102e+01,1.141804549346242510e+02,3.540562540271197634e+01
2.230468530614547973e+01,1.141804555409250526e+02,3.515844758362181466e+01
2.230468552275618777e+01,1.141804562983811877e+02,3.451782049824252141e+01
2.230468585944579729e+01,1.141804585110571821e+02,3.426872881323050279e+01
2.230468609153538395e+01,1.141804620671896231e+02,3.439981562725718334e+01
2.230468802196664058e+01,1.141804613549706460e+02,3.396366583433243136e+01
2.230468716642804949e+01,1.141804652380733103e+02,3.354680195881958582e+01
2.230468622789880229e+01,1.141804654968761383e+02,3.305976890837621340e+01
2.230468490635347933e+01,1.141804666701723363e+02,3.248353927577278455e+01
2.230468665463258660e+01,1.141804674580545083e+02,3.170620516997910698e+01
2.230468592183272847e+01,1.141804700707501468e+02,3.131393685905801050e+01
2.230468592244698200e+01,1.141804716477584094e+02,3.110058565860120083e+01
2.230468508008435791e+01,1.141804681862294757e+02,3.197665644998835432e+01
2.230468015535798898e+01,1.141804551406215609e+02,3.459569039044854577e+01
2.230467212661492482e+01,1.141804507529117956e+02,3.659796304322428284e+01
2.230467321051797924e+01,1.141804537013083518e+02,3.590227525322058710e+01
2.230467337631638713e+01,1.141804550452251874e+02,3.663918349033699684e+01
2.230467225350637506e+01,1.141804562224445050e+02,3.585927317465801423e+01
2.230467076292761419e+01,1.141804542240396358e+02,3.556276608474959033e+01
2.230466947197611560e+01,1.141804557930887114e+02,3.534400421614989085e+01
2.230466706779566621e+01,1.141804546375810929e+02,3.464935085416623650e+01
2.230466765352607084e+01,1.141804561798225990e+02,3.435517677272703452e+01
2.230466940420005528e+01,1.141804566408655432e+02,3.302650341289811564e+01
2.230466785096484017e+01,1.141804477653426630e+02,3.332342584764683124e+01
2.230467226637763645e+01,1.141804455891474817e+02,3.250343665994166287e+01
2.230467456426166351e+01,1.141804444535450074e+02,3.224238491340298651e+01
2.230467543895656135e+01,1.141804447313162569e+02,3.078052788005833662e+01
2.230467539020715861e+01,1.141804452507432046e+02,3.024050293724832628e+01
2.230467521407371834e+01,1.141804513151216298e+02,2.931391837421885427e+01
2.230467313835966081e+01,1.141804539263156784e+02,3.004371507736975389e+01
2.230467530110258778e+01,1.141804569866295935e+02,2.882299537205619089e+01
2.230467486340238281e+01,1.141804595160388800e+02,2.829102588352458625e+01
2.230467469826789895e+01,1.141804588261088327e+02,2.889727819271729814e+01
2.230467461401612539e+01,1.141804572493580849e+02,2.786718161842697938e+01
2.230467804371800611e+01,1.141804496592849461e+02,3.005186007848010732e+01
2.230468011563693054e+01,1.141804446692323864e+02,3.024836324546419064e+01
2.230467795240970119e+01,1.141804435110606022e+02,2.932848479571572042e+01
2.230467671115193440e+01,1.141804427814406893e+02,2.875354793964126188e+01
2.230468035091586643e+01,1.141804460593758392e+02,2.856033922782851775e+01
2.230468020678105390e+01,1.141804454402116846e+02,2.768141712129551024e+01
2.230468057934527337e+01,1.141804435998878660e+02,2.832245293835989841e+01
2.230468215004388810e+01,1.141804390906431195e+02,2.819925471911929193e+01
2.230468140855275294e+01,1.141804369938990931e+02,2.766272529706912309e+01
2.230468140040250802e+01,1.141804382043348909e+02,2.797577760502564814e+01
2.230467705760565877e+01,1.141804479173162576e+02,2.586397809118299662e+01
2.230467422103808772e+01,1.141804570050214238e+02,2.435751948925067367e+01
