east_err(m),north_err(m),up_err(m),2d_err(m),3d_err(m)
4.462237824931234354e+05,2.549666971707719378e+06,6.495086422715647146e+06,2.588419852087308187e+06,6.991857047253241763e+06
4.462241366704117972e+05,2.549667408743267879e+06,6.495085615217367187e+06,2.588420343637188897e+06,6.991856479101843201e+06
4.462247570275802864e+05,2.549667678403933067e+06,6.495085141941095702e+06,2.588420716205544770e+06,6.991856177378508262e+06
4.462250754716153024e+05,2.549667969411888160e+06,6.495085095669169910e+06,2.588421057754049078e+06,6.991856260837201960e+06
4.462254101826306432e+05,2.549668637580229435e+06,6.495083957870544866e+06,2.588421773620536085e+06,6.991855468896663748e+06
4.462259793665199541e+05,2.549669186435554177e+06,6.495082540456845425e+06,2.588422412381825969e+06,6.991854388663132675e+06
4.462264028768775752e+05,2.549668921849582344e+06,6.495081753002330661e+06,2.588422224767444655e+06,6.991853587701466866e+06
4.462264441349530825e+05,2.549669423868709709e+06,6.495080581308648922e+06,2.588422726383061614e+06,6.991852684957615100e+06
4.462268930535244872e+05,2.549670233702844474e+06,6.495079962198236026e+06,2.588423601483056787e+06,6.991852433802043088e+06
4.462271159671900677e+05,2.549670466667462140e+06,6.495078873292542994e+06,2.588423869388603605e+06,6.991851521443501115e+06
4.462274997504400089e+05,2.549671450643763877e+06,6.495077875878593884e+06,2.588424904794690665e+06,6.991850978209489025e+06
4.462278367184253293e+05,2.549671561088779941e+06,6.495076310565667227e+06,2.588425071677235421e+06,6.991849585893465206e+06
4.462288255146183656e+05,2.549672356716084760e+06,6.495074909669209272e+06,2.588426025854768232e+06,6.991848637773618102e+06
4.462291507417221437e+05,2.549673266460278537e+06,6.495072780674478039e+06,2.588426978045528289e+06,6.991847012552005239e+06
4.462297333213072270e+05,2.549674083519726526e+06,6.495072377625547349e+06,2.588427883305262774e+06,6.991846973272981122e+06
4.462298307951846509e+05,2.549673923515782226e+06,6.495071001271118410e+06,2.588427742500814609e+06,6.991845642582569271e+06
4.462303311577342683e+05,2.549674369731325656e+06,6.495069879656666890e+06,2.588428268295255490e+06,6.991844795312124304e+06
4.462307319429643103e+05,2.549675225975524168e+06,6.495068363795903511e+06,2.588429180812891107e+06,6.991843724974557757e+06
4.462313036859837011e+05,2.549675556295079645e+06,6.495067054319401272e+06,2.588429604752255604e+06,6.991842665482628159e+06
4.462314885980398394e+05,2.549675810988320038e+06,6.495066060993548483e+06,2.588429887510065455e+06,6.991841847412283532e+06
4.462320060785251553e+05,2.549676336831001099e+06,6.495065460707944818e+06,2.588430494690714404e+06,6.991841514560103416e+06
4.462317321680767345e+05,2.549676930688032880e+06,6.495065118202167563e+06,2.588431032435763162e+06,6.991841395466791466e+06
4.462319143520399812e+05,2.549677224043234251e+06,6.495064180648750626e+06,2.588431352806386072e+06,6.991840643130929209e+06
4.462324387543220073e+05,2.549677512406484224e+06,6.495063173425607383e+06,2.588431727256476879e+06,6.991839846096123569e+06
4.462327268451041891e+05,2.549678101893531624e+06,6.495062555978575721e+06,2.588432357583064120e+06,6.991839505870967172e+06
4.462336959784860373e+05,2.549678455996593460e+06,6.495061673195623793e+06,2.588432873458338901e+06,6.991838876791607589e+06
4.462340579985564109e+05,2.549679280525928829e+06,6.495060598234571517e+06,2.588433748053265736e+06,6.991838201989538968e+06
4.462352191033145064e+05,2.549679644228880759e+06,6.495059360271231271e+06,2.588434306480134372e+06,6.991837258718929254e+06
4.462359027733563562e+05,2.549680139617904089e+06,6.495058699272127822e+06,2.588434912313988898e+06,6.991836868969161063e+06
4.462364162910740124e+05,2.549680562758874148e+06,6.495057863706815988e+06,2.588435417648025788e+06,6.991836279850555584e+06
4.462368201886781608e+05,2.549681054431934375e+06,6.495056844642940909e+06,2.588435971590034198e+06,6.991835538266354240e+06
4.462376045994961169e+05,2.549681470160651021e+06,6.495055991765237413e+06,2.588436516323951539e+06,6.991834947651781142e+06
4.462383210439750692e+05,2.549682223331301939e+06,6.495053950459809974e+06,2.588437381730490364e+06,6.991833371764760464e+06
4.462384572976050549e+05,2.549682111156217754e+06,6.495053609963484108e+06,2.588437294724632520e+06,6.991833023250846192e+06
4.462390022479862673e+05,2.549682327465184033e+06,6.495053610095928423e+06,2.588437601742710918e+06,6.991833137034644373e+06
4.462393057109069778e+05,2.549683093655492179e+06,6.495052518450246193e+06,2.588438408777383622e+06,6.991832421723283827e+06
4.462393851737569785e+05,2.549682934848980512e+06,6.495052611999395303e+06,2.588438266047765501e+06,6.991832455785860308e+06
4.462398555772008840e+05,2.549683413442947436e+06,6.495051534601360559e+06,2.588438818572237622e+06,6.991831659488029778e+06
4.462403896200130112e+05,2.549683245079941582e+06,6.495050664467429742e+06,2.588438744797643740e+06,6.991830823866406456e+06
4.462409783515326562e+05,2.549683814864222426e+06,6.495049231829432771e+06,2.588439407546699047e+06,6.991829738375270739e+06
4.462417549010494258e+05,2.549684823125485796e+06,6.495047766512603499e+06,2.588440534587110858e+06,6.991828794412372634e+06
4.462423951381489751e+05,2.549685062848731410e+06,6.495046615308730863e+06,2.588440881096682511e+06,6.991827853284573182e+06
4.462427937997257686e+05,2.549685975172038190e+06,6.495044995748610236e+06,2.588441848488617688e+06,6.991826706934764981e+06
4.462433779473773902e+05,2.549686333176834043e+06,6.495044557441795245e+06,2.588442301839199848e+06,6.991826467605221085e+06
4.462442355741848005e+05,2.549686828694984782e+06,6.495042302274447866e+06,2.588442937791728880e+06,6.991824608107560314e+06
4.462447358877067454e+05,2.549687129568282515e+06,6.495041413183332421e+06,2.588443320413571782e+06,6.991823923838484101e+06
4.462456088026978541e+05,2.549687228412550408e+06,6.495041261799458414e+06,2.588443568267572671e+06,6.991823874968767166e+06
4.462460898276065709e+05,2.549687422492494807e+06,6.495040457072634250e+06,2.588443842369938269e+06,6.991823228894817643e+06
4.462465521003640024e+05,2.549688281942832749e+06,6.495039838756076060e+06,2.588444768647393212e+06,6.991822997428253293e+06
4.462467811757122981e+05,2.549688744199105073e+06,6.495038801724734716e+06,2.588445263474832289e+06,6.991822217270342633e+06
4.462473572855083621e+05,2.549688989282892551e+06,6.495038115689969622e+06,2.588445604210124817e+06,6.991821706123535521e+06
4.462475424003196531e+05,2.549689773948141374e+06,6.495036971798985265e+06,2.588446409040382132e+06,6.991820941465090029e+06
4.462475070747364080e+05,2.549690039431701414e+06,6.495035756470184773e+06,2.588446664458754007e+06,6.991819907046653330e+06
4.462476016255508293e+05,2.549690674698911607e+06,6.495033867854150012e+06,2.588447306514688767e+06,6.991818390317041427e+06
4.462492796225978527e+05,2.549691461422359571e+06,6.495029580711839721e+06,2.588448370745257009e+06,6.991814801776116714e+06
4.462498513603888568e+05,2.549691918604455888e+06,6.495028240500818007e+06,2.588448919649765827e+06,6.991813760000990704e+06
4.462501771861806628e+05,2.549692470124465413e+06,6.495026702077768743e+06,2.588449519084367901e+06,6.991812552804266103e+06
4.462508810499593965e+05,2.549693118771068752e+06,6.495025691996266134e+06,2.588450279365320224e+06,6.991811895956439897e+06
4.462514350020710845e+05,2.549693653619780671e+06,6.495023995442623273e+06,2.588450901707504410e+06,6.991810550345729105e+06
4.462524596470148535e+05,2.549694512904746458e+06,6.495021913314500824e+06,2.588451924776193686e+06,6.991808994910626672e+06
4.462527810370252118e+05,2.549694869009047281e+06,6.495021707348393276e+06,2.588452330956539139e+06,6.991808953951844014e+06
4.462532771716997959e+05,2.549695468862292357e+06,6.495020151500195265e+06,2.588453007362387143e+06,6.991807759064675309e+06
4.462533194314296707e+05,2.549695383357302286e+06,6.495020377685870975e+06,2.588452930423327256e+06,6.991807940695440397e+06
4.462539633269361802e+05,2.549695491221244913e+06,6.495020986835598946e+06,2.588453147680858150e+06,6.991808586994770914e+06
4.462539353058676934e+05,2.549695624823020305e+06,6.495021813759936951e+06,2.588453274451293983e+06,6.991809402095787227e+06
4.462542803315767087e+05,2.549695973180123605e+06,6.495022118596038781e+06,2.588453677075406071e+06,6.991809834328803234e+06
4.462541401980918599e+05,2.549696502250957768e+06,6.495021293304868042e+06,2.588454174065035768e+06,6.991809251668579876e+06
4.462545313702656422e+05,2.549697077200484462e+06,6.495019451563414186e+06,2.588454807844477240e+06,6.991807775421196595e+06
4.462549369851704105e+05,2.549697632999792695e+06,6.495018169677624479e+06,2.588455425250429660e+06,6.991806813188623637e+06
4.462551164441202418e+05,2.549698252091586590e+06,6.495016711466336623e+06,2.588456066011445131e+06,6.991805695805514231e+06
4.462542730458042934e+05,2.549698592116527259e+06,6.495017141665696166e+06,2.588456255541638471e+06,6.991806165604411624e+06
4.462553643877879949e+05,2.549699441550999880e+06,6.495015837018953636e+06,2.588457280406682286e+06,6.991805333075097762e+06
4.462556038622316555e+05,2.549699767163897399e+06,6.495016106395271607e+06,2.588457642429962289e+06,6.991805717337122187e+06
4.462562789287482155e+05,2.549700214532928076e+06,6.495014969226278365e+06,2.588458199483351316e+06,6.991804867196025327e+06
4.462565841894848272e+05,2.549700578163278289e+06,6.495014270180253312e+06,2.588458610296603292e+06,6.991804369907938875e+06
4.462573864186042920e+05,2.549701067688028328e+06,6.495012970948050730e+06,2.588459230797857046e+06,6.991803392708211206e+06
4.462575819953320315e+05,2.549701122399676591e+06,6.495014100056834519e+06,2.588459318408248015e+06,6.991804474024684168e+06
4.462582200037543080e+05,2.549701922447878867e+06,6.495012736823522486e+06,2.588460216471431311e+06,6.991803540128620341e+06
4.462585897713446757e+05,2.549702380924953613e+06,6.495012172719252296e+06,2.588460731832547113e+06,6.991803206899515353e+06
4.462603367735155043e+05,2.549703309076639358e+06,6.495008824693689123e+06,2.588461947275558487e+06,6.991800546736332588e+06
4.462600791948864935e+05,2.549703270873907022e+06,6.495009974881219678e+06,2.588461865237370133e+06,6.991801584827380255e+06
4.462607562486535753e+05,2.549703788063716143e+06,6.495008207587413490e+06,2.588462491409540176e+06,6.991800174923619255e+06
4.462612218134155846e+05,2.549704368820155971e+06,6.495007016865688376e+06,2.588463143735099118e+06,6.991799310307006352e+06
4.462616189189949073e+05,2.549704761372769717e+06,6.495006613883293234e+06,2.588463598872345407e+06,6.991799104456226341e+06
4.462614191986145452e+05,2.549705292877445463e+06,6.495004748351103626e+06,2.588464087985850405e+06,6.991797552553692833e+06
4.462619892103982856e+05,2.549705662217725534e+06,6.495003679748416878e+06,2.588464550068080891e+06,6.991796730948678218e+06
4.462627930836282903e+05,2.549706306662581395e+06,6.495002369239780121e+06,2.588465323454371188e+06,6.991795799875458702e+06
4.462636692775645643e+05,2.549706554708709940e+06,6.495001289771251380e+06,2.588465718846134376e+06,6.991794943487104960e+06
4.462644012103470159e+05,2.549706810777640902e+06,6.495001831603735685e+06,2.588466097269484773e+06,6.991795586918241344e+06
4.462650827074862900e+05,2.549707304496984463e+06,6.494999539179456420e+06,2.588466701089507435e+06,6.991793680922696367e+06
4.462645311019615037e+05,2.549708241095989011e+06,6.494997769082518294e+06,2.588467528564431239e+06,6.991792342941782437e+06
4.462651378225727240e+05,2.549708391310230363e+06,6.494996861862805672e+06,2.588467781131069642e+06,6.991791593687650748e+06
4.462648884786356939e+05,2.549708627417072654e+06,6.494997041973230429e+06,2.588467970714318566e+06,6.991791831187118776e+06
4.462659135118444683e+05,2.549709038343369029e+06,6.494995925734864548e+06,2.588468552208512090e+06,6.991791009540039115e+06
4.462662643292513676e+05,2.549709144254192710e+06,6.494996320733390749e+06,2.588468717016265728e+06,6.991791437486683950e+06
4.462677555421470315e+05,2.549710000332334545e+06,6.494993603599635884e+06,2.588469817369199824e+06,6.991789320784167387e+06
4.462677351210023626e+05,2.549710238073540851e+06,6.494992892327297479e+06,2.588470048029735684e+06,6.991788745444842614e+06
4.462680734935050714e+05,2.549710899136549328e+06,6.494990891599759459e+06,2.588470757531426381e+06,6.991787149546183646e+06
4.462686024164904375e+05,2.549711506330355071e+06,6.494989784722371958e+06,2.588471446822656319e+06,6.991786376503800042e+06
4.462689576527407044e+05,2.549711994684416335e+06,6.494988796575264074e+06,2.588471989109028131e+06,6.991785659331973642e+06
4.462689834678634652e+05,2.549712268047884572e+06,6.494988933704961091e+06,2.588472262829819694e+06,6.991785888053868897e+06
4.462695948429429554e+05,2.549713034700523131e+06,6.494985739994703792e+06,2.588473123407511041e+06,6.991783239870754071e+06
4.462696779858161462e+05,2.549713116409148555e+06,6.494985972748357803e+06,2.588473218226995319e+06,6.991783491189951077e+06
4.462708221790470998e+05,2.549713773689605296e+06,6.494984353213265538e+06,2.588474062931836583e+06,6.991782299453837797e+06
4.462712991304539028e+05,2.549714644068506081e+06,6.494982267990276217e+06,2.588475002507262398e+06,6.991780710242068395e+06
4.462710760258485680e+05,2.549714901818789542e+06,6.494981956824291497e+06,2.588475217933150008e+06,6.991780500940170139e+06
4.462722874337175163e+05,2.549715479629200883e+06,6.494980035255188122e+06,2.588475995946666691e+06,6.991779003941384144e+06
4.462721590950968675e+05,2.549715591602232307e+06,6.494980058880541474e+06,2.588476084116467275e+06,6.991779058530011214e+06
4.462725582013899693e+05,2.549716236206852831e+06,6.494978129365745001e+06,2.588476787877467927e+06,6.991777526660856791e+06
4.462724887197224889e+05,2.549716489953452721e+06,6.494977972559937276e+06,2.588477025845245924e+06,6.991777469096641988e+06
4.462725814107727492e+05,2.549716957938394975e+06,6.494976174537150189e+06,2.588477502803077921e+06,6.991775975410173647e+06
4.462736472582239658e+05,2.549717413776619826e+06,6.494974464216515422e+06,2.588478135575592052e+06,6.991774620879702270e+06
4.462740420952772256e+05,2.549717655784820206e+06,6.494973626301998273e+06,2.588478442032866646e+06,6.991773955959062092e+06
4.462746136437440873e+05,2.549718485561449546e+06,6.494971971753045917e+06,2.588479357923613861e+06,6.991772758053160273e+06
4.462753083987382124e+05,2.549719167653953657e+06,6.494970070842308924e+06,2.588480149583604652e+06,6.991771285298576578e+06
4.462752523109677713e+05,2.549719748456472065e+06,6.494968783423710614e+06,2.588480712018954568e+06,6.991770297581480816e+06
4.462758061680554529e+05,2.549719996344793588e+06,6.494968745525366627e+06,2.588481051684837323e+06,6.991770388126514852e+06
4.462769080132385134e+05,2.549720031172738411e+06,6.494968561854139902e+06,2.588481275958813261e+06,6.991770300536409952e+06
4.462766030407604412e+05,2.549720825054090004e+06,6.494966083160655573e+06,2.588482005372282118e+06,6.991768268009414896e+06
4.462769446850647801e+05,2.549721326333567034e+06,6.494964776480074041e+06,2.588482558047791943e+06,6.991767258786186576e+06
4.462773421112993383e+05,2.549721771008834243e+06,6.494963709236227907e+06,2.588483064584034029e+06,6.991766454904938117e+06
4.462779254131808993e+05,2.549722129871597048e+06,6.494963163368768990e+06,2.588483518639445771e+06,6.991766115924165584e+06
4.462787785633765743e+05,2.549722909425419755e+06,6.494961443172934465e+06,2.588484433610688429e+06,6.991764856697333977e+06
4.462795003163031070e+05,2.549723052900774870e+06,6.494961219023741782e+06,2.588484699374562129e+06,6.991764746866028756e+06
4.462796965458114864e+05,2.549723408935692627e+06,6.494960799043582752e+06,2.588485083909828216e+06,6.991764499090092257e+06
4.462801964829091448e+05,2.549723858410398476e+06,6.494959301503226161e+06,2.588485612847796641e+06,6.991763303781336173e+06
4.462804529624675633e+05,2.549724010297642089e+06,6.494959029537298717e+06,2.588485806680167094e+06,6.991763122900600545e+06
4.462810524801819120e+05,2.549724441640126519e+06,6.494957526957043447e+06,2.588486334926239215e+06,6.991761922654105350e+06
4.462814950397918001e+05,2.549724798634654842e+06,6.494957305682288483e+06,2.588486762876620051e+06,6.991761875537754968e+06
4.462816942877011606e+05,2.549725322696032468e+06,6.494955297404097393e+06,2.588487313442676794e+06,6.991760213789602742e+06
4.462821492125282530e+05,2.549725503530979622e+06,6.494954966801403090e+06,2.588487570003391244e+06,6.991760001661976799e+06
4.462826770977397100e+05,2.549726035945752636e+06,6.494953823389401659e+06,2.588488185458293185e+06,6.991759167349643074e+06
4.462829101587913465e+05,2.549726445971188135e+06,6.494952913801824674e+06,2.588488629525860306e+06,6.991758486796256155e+06
4.462835659714689245e+05,2.549726901956944261e+06,6.494951898121503182e+06,2.588489191752433777e+06,6.991757751433560625e+06
4.462841969109755591e+05,2.549727562966177706e+06,6.494950698064103723e+06,2.588489951643992215e+06,6.991756917974573560e+06
4.462847411925312481e+05,2.549727889810619410e+06,6.494950833982224576e+06,2.588490367434153333e+06,6.991757198168840259e+06
4.462850033830876928e+05,2.549728550327850040e+06,6.494949318026825786e+06,2.588491063264774624e+06,6.991756047541900538e+06
4.462858181779831648e+05,2.549728937219007406e+06,6.494948681747698225e+06,2.588491584842176177e+06,6.991755649572925642e+06
4.462861734267179854e+05,2.549729163588154595e+06,6.494948016124835238e+06,2.588491869070446119e+06,6.991755136473798193e+06
4.462865753344587865e+05,2.549729672419365961e+06,6.494947089617052115e+06,2.588492439575500786e+06,6.991754487012865953e+06
4.462866124470936484e+05,2.549730142156282440e+06,6.494945465021872893e+06,2.588492908676745370e+06,6.991753151526303031e+06
4.462877364481625264e+05,2.549730884613364935e+06,6.494944164409277961e+06,2.588493833806694020e+06,6.991752285832887515e+06
4.462882682182956487e+05,2.549731288265392184e+06,6.494943379241779447e+06,2.588494323097653687e+06,6.991751737602344714e+06
4.462889485648449627e+05,2.549731593815197702e+06,6.494943056466700509e+06,2.588494741372001357e+06,6.991751592616510577e+06
4.462893004428714048e+05,2.549731984649038408e+06,6.494942058534971438e+06,2.588495187021237332e+06,6.991750830583037809e+06
4.462899065652674180e+05,2.549732137695461046e+06,6.494942081212728284e+06,2.588495442278989125e+06,6.991750946151259355e+06
4.462901134274326032e+05,2.549732765211804770e+06,6.494940566945405677e+06,2.588496096063833684e+06,6.991749781527569517e+06
4.462907542571073282e+05,2.549733190589312464e+06,6.494939931843576953e+06,2.588496625558575615e+06,6.991749387584225275e+06
4.462912372675902443e+05,2.549733532720630057e+06,6.494939355905544013e+06,2.588497045843757689e+06,6.991749008169027977e+06
4.462918237509373575e+05,2.549733855680995621e+06,6.494938859795460477e+06,2.588497465085259173e+06,6.991748702523136511e+06
4.462923802155954763e+05,2.549733990699194837e+06,6.494938688905659132e+06,2.588497694023570977e+06,6.991748628534131683e+06
4.462928503691414953e+05,2.549734489980375394e+06,6.494937645927163772e+06,2.588498266888756771e+06,6.991747871753385291e+06
4.462930466290887562e+05,2.549734921257414855e+06,6.494936411080050282e+06,2.588498725545181427e+06,6.991746894455092959e+06
4.462940354767630342e+05,2.549734991631542332e+06,6.494936637388003059e+06,2.588498965356647503e+06,6.991747193465837277e+06
4.462941429492549505e+05,2.549735766535938717e+06,6.494934639486101456e+06,2.588499747186277062e+06,6.991745626978993416e+06
4.462947277351435041e+05,2.549736116907342337e+06,6.494933992125482298e+06,2.588500193136156071e+06,6.991745190718335100e+06
4.462950536520737223e+05,2.549736528112123720e+06,6.494933054157356732e+06,2.588500654375728220e+06,6.991744490160477348e+06
4.462954946497454657e+05,2.549736756001024041e+06,6.494932577746987343e+06,2.588500954886300024e+06,6.991744158858103678e+06
4.462956682168798870e+05,2.549737278336055577e+06,6.494931211420178413e+06,2.588501499324601144e+06,6.991743091181604192e+06
4.462961198209043359e+05,2.549737677261437755e+06,6.494930247637866065e+06,2.588501970139050856e+06,6.991742370188923553e+06
4.462965789831247530e+05,2.549738687225259840e+06,6.494927641468401067e+06,2.588503044144478161e+06,6.991740346827499568e+06
4.462973041563046863e+05,2.549738762691989541e+06,6.494927722942741588e+06,2.588503243511829991e+06,6.991740496322889812e+06
4.462975386544287321e+05,2.549739295395019930e+06,6.494926434590316378e+06,2.588503808668338228e+06,6.991739508751063608e+06
4.462978037230852060e+05,2.549739839888280723e+06,6.494925103384838440e+06,2.588504390709346626e+06,6.991738487622382119e+06
4.462985131299340865e+05,2.549740078891780693e+06,6.494924715485967696e+06,2.588504748446302488e+06,6.991738259729087353e+06
4.462992305507829296e+05,2.549740228052021936e+06,6.494924578742830083e+06,2.588505019067375921e+06,6.991738232892785221e+06
4.462997062294518691e+05,2.549740589639029466e+06,6.494923656431362964e+06,2.588505457253911532e+06,6.991737538345173001e+06
4.463000982536165393e+05,2.549741126841342542e+06,6.494922462289575487e+06,2.588506054002452176e+06,6.991736649986254983e+06
4.463005802734237514e+05,2.549741510858428665e+06,6.494921674681274220e+06,2.588506515376582276e+06,6.991736089154941030e+06
4.463012471655448899e+05,2.549741802652357146e+06,6.494921275324052200e+06,2.588506917783766054e+06,6.991735867155697197e+06
4.463016497773599112e+05,2.549742367750124075e+06,6.494919971328697167e+06,2.588507543835637160e+06,6.991734887598239817e+06
4.463020183785908739e+05,2.549742755670553073e+06,6.494918957900900394e+06,2.588507989499601535e+06,6.991734111177554354e+06
4.463024704161662958e+05,2.549743006957277656e+06,6.494918396050010808e+06,2.588508314961942378e+06,6.991733709744382650e+06
4.463027390566210379e+05,2.549743607457821257e+06,6.494916904434093274e+06,2.588508952787582297e+06,6.991732560257522389e+06
4.463029067260153242e+05,2.549744082248030696e+06,6.494915583016185090e+06,2.588509449376405682e+06,6.991731516585674137e+06
4.463035714257280342e+05,2.549744167308553122e+06,6.494915562493203208e+06,2.588509647768643685e+06,6.991731570970652625e+06
4.463041948510062648e+05,2.549744381483875681e+06,6.494915047997519374e+06,2.588509966225781478e+06,6.991731210934443399e+06
4.463047402570244740e+05,2.549744701259546448e+06,6.494914379918524064e+06,2.588510375250024721e+06,6.991730741758398712e+06
4.463053022347273072e+05,2.549745071980546694e+06,6.494913680881997570e+06,2.588510837313978467e+06,6.991730263461259194e+06
4.463065343132303096e+05,2.549745415276400745e+06,6.494913235858156346e+06,2.588511387901106384e+06,6.991730053900764324e+06
4.463067385125710280e+05,2.549746194554116577e+06,6.494911266868536361e+06,2.588512190715919249e+06,6.991728522045230493e+06
4.463068557325038710e+05,2.549746815216847695e+06,6.494909687437897548e+06,2.588512822294355836e+06,6.991727288671730086e+06
4.463073127472400665e+05,2.549747195420261938e+06,6.494908849470836110e+06,2.588513275601489935e+06,6.991726678074575029e+06
4.463074092811987503e+05,2.549747935630939435e+06,6.494906915130786598e+06,2.588514021370858420e+06,6.991725157287523150e+06
4.463079734044934157e+05,2.549748200682761613e+06,6.494906328140810132e+06,2.588514379718491342e+06,6.991724744677306153e+06
4.463086979366845335e+05,2.549748178557242732e+06,6.494906598854524083e+06,2.588514482847240288e+06,6.991725034335514531e+06
4.463091265256560291e+05,2.549748588227612898e+06,6.494905653659147210e+06,2.588514960279116873e+06,6.991724333061362617e+06
4.463095512288179016e+05,2.549748988010649569e+06,6.494904733343839645e+06,2.588515427301796153e+06,6.991723651045685634e+06
4.463102617919023614e+05,2.549749895397741348e+06,6.494902464148755185e+06,2.588516443614285905e+06,6.991721919360574335e+06
4.463108154694644036e+05,2.549750199030374177e+06,6.494901911506567150e+06,2.588516838164366782e+06,6.991721552060845308e+06
4.463113889222586295e+05,2.549750622205701191e+06,6.494901204958532006e+06,2.588517353876553942e+06,6.991721086648970842e+06
4.463118736206857720e+05,2.549750976679281797e+06,6.494900381531498395e+06,2.588517786612979602e+06,6.991720481943608262e+06
4.463123909080490121e+05,2.549751290614943020e+06,6.494899889016372152e+06,2.588518185037653428e+06,6.991720171933049336e+06
4.463129533628924401e+05,2.549751625162895303e+06,6.494899242738598958e+06,2.588518611553784925e+06,6.991719729486213066e+06
4.463134570501939743e+05,2.549751869499083143e+06,6.494898782080724835e+06,2.588518939076584298e+06,6.991719422819528729e+06
4.463139676682063146e+05,2.549752244379739277e+06,6.494898069881520234e+06,2.588519396383819636e+06,6.991718930535319261e+06
4.463141668200965505e+05,2.549752822363455314e+06,6.494896094250300899e+06,2.588520000049202703e+06,6.991717318782456219e+06
4.463147823717470164e+05,2.549753083000727464e+06,6.494895442470393144e+06,2.588520362916864455e+06,6.991716847660375759e+06
4.463152721347567276e+05,2.549753216840558220e+06,6.494894697988158092e+06,2.588520579197603278e+06,6.991716236152907833e+06
4.463157013668106520e+05,2.549753583549618255e+06,6.494893705212160945e+06,2.588521014423230197e+06,6.991715475054402836e+06
4.463160699369768263e+05,2.549754011294393800e+06,6.494892666626087390e+06,2.588521499311110470e+06,6.991714689787417650e+06
4.463164861581491423e+05,2.549754472239923198e+06,6.494891391005231068e+06,2.588522025118590333e+06,6.991713699478684925e+06
4.463169453660076833e+05,2.549754954438536428e+06,6.494890266762204468e+06,2.588522579272722360e+06,6.991712860285892151e+06
4.463174515726045356e+05,2.549755390917221550e+06,6.494889109552249312e+06,2.588523096495315898e+06,6.991711976795819588e+06
4.463182196112763486e+05,2.549755694553065579e+06,6.494888459376880899e+06,2.588523528010275681e+06,6.991711532579827122e+06
4.463186997176565928e+05,2.549756135736321099e+06,6.494887143066326156e+06,2.588524045366910752e+06,6.991710501344499178e+06
4.463189845121668768e+05,2.549756548116829712e+06,6.494886108429711312e+06,2.588524500676132739e+06,6.991709708796115592e+06
4.463193143639189657e+05,2.549756680115014780e+06,6.494885941390949301e+06,2.588524687571169343e+06,6.991709622820674442e+06
4.463198190643752459e+05,2.549756874261442572e+06,6.494885719449534081e+06,2.588524965831532609e+06,6.991709519669895060e+06
4.463197210235057282e+05,2.549757360154501162e+06,6.494883986718114465e+06,2.588525427542976569e+06,6.991708081003092229e+06
4.463204115795965190e+05,2.549757453230096027e+06,6.494884474035706371e+06,2.588525638292000163e+06,6.991708611717530526e+06
4.463208800828043022e+05,2.549757717108210083e+06,6.494884029351616278e+06,2.588525978998619132e+06,6.991708324771381915e+06
4.463215301914352458e+05,2.549757706939210184e+06,6.494884540686463006e+06,2.588526081075545866e+06,6.991708837562983856e+06
4.463218161095657269e+05,2.549758162296987139e+06,6.494883831669233739e+06,2.588526578912306577e+06,6.991708363240981475e+06
4.463220532162675518e+05,2.549758502363570035e+06,6.494883349389472045e+06,2.588526954768387135e+06,6.991708054384072311e+06
4.463221734516419237e+05,2.549758888365468010e+06,6.494882233140380122e+06,2.588527355720488355e+06,6.991707165898459964e+06
4.463225368677566294e+05,2.549758923481537960e+06,6.494882582542144693e+06,2.588527452972017694e+06,6.991707526477285661e+06
4.463232045274072443e+05,2.549759588037197012e+06,6.494880678895532154e+06,2.588528222694748081e+06,6.991706043075446971e+06
4.463234531168233952e+05,2.549759825855009723e+06,6.494880028453114443e+06,2.588528499813416041e+06,6.991705541450198740e+06
4.463243931914521963e+05,2.549759964660209138e+06,6.494880058322872035e+06,2.588528798630942125e+06,6.991705679828196764e+06
4.463247263336163596e+05,2.549760368410793133e+06,6.494879039332486689e+06,2.588529253776190337e+06,6.991704901754336432e+06
4.463248720735649695e+05,2.549760905488057528e+06,6.494877785294326954e+06,2.588529807938622776e+06,6.991703941994148307e+06
4.463248339511622326e+05,2.549761231961071026e+06,6.494876854984711856e+06,2.588530122948769480e+06,6.991703194417600520e+06
4.463252649005129351e+05,2.549761489654763136e+06,6.494875887988076545e+06,2.588530451088993810e+06,6.991702417622184381e+06
4.463258181671388447e+05,2.549761556886044797e+06,6.494876733107200824e+06,2.588530612709942739e+06,6.991703262524359860e+06
4.463260367155877757e+05,2.549761853326241486e+06,6.494877203407431021e+06,2.588530942393370904e+06,6.991703821463652886e+06
4.463264291083134594e+05,2.549762307362399530e+06,6.494876040624566376e+06,2.588531457287433557e+06,6.991702931936228648e+06
4.463264615709577338e+05,2.549762695629378781e+06,6.494874848378826864e+06,2.588531845336589031e+06,6.991701968077982776e+06
4.463267233921359875e+05,2.549762535798870493e+06,6.494875169444764964e+06,2.588531733044323046e+06,6.991702224755257368e+06
4.463274867482613772e+05,2.549762324176299386e+06,6.494875807644610293e+06,2.588531656212831382e+06,6.991702789159674197e+06
4.463278090800646460e+05,2.549762910619663540e+06,6.494873096823639236e+06,2.588532289450890385e+06,6.991700505411637947e+06
4.463284320162063814e+05,2.549763482307347935e+06,6.494871331775423139e+06,2.588532959986049216e+06,6.991699114038904198e+06
