east_err(m),north_err(m),up_err(m),2d_err(m),3d_err(m)
4.460524894374086871e+05,2.549510863802126609e+06,6.495444211524412967e+06,2.588236555645247456e+06,6.992121564518481493e+06
4.460521169695666176e+05,2.549511589834225364e+06,6.495445552193404175e+06,2.588237206623857841e+06,6.992123050923885778e+06
4.460520124059155351e+05,2.549512165506619960e+06,6.495444904689248651e+06,2.588237755662648007e+06,6.992122652649275959e+06
4.460523026783927926e+05,2.549512272184852511e+06,6.495443140810787678e+06,2.588237910769770388e+06,6.992121071481226012e+06
4.460526371090559405e+05,2.549512480960823596e+06,6.495441721872229129e+06,2.588238174057201482e+06,6.992119850795281120e+06
4.460533844779739156e+05,2.549513230253921822e+06,6.495440684652753174e+06,2.588239040939619765e+06,6.992119208143283613e+06
4.460537302897223854e+05,2.549513560523387045e+06,6.495438961726969108e+06,2.588239425864233170e+06,6.992117750089649111e+06
4.460539502743690391e+05,2.549513948012195062e+06,6.495438758758267388e+06,2.588239845467204694e+06,6.992117716861126013e+06
4.460538952530681854e+05,2.549514468180003110e+06,6.495437791553536430e+06,2.588240348369834013e+06,6.992117004518122412e+06
4.460540888154616696e+05,2.549514732299323194e+06,6.495436411021598615e+06,2.588240641895626206e+06,6.992115830704282038e+06
4.460546231498349225e+05,2.549515077628294472e+06,6.495435880069863051e+06,2.588241074144243728e+06,6.992115497471870854e+06
4.460560335840591579e+05,2.549514942944137380e+06,6.495432924273492768e+06,2.588241184548339341e+06,6.992112792506159283e+06
4.460573795898093376e+05,2.549514975058018696e+06,6.495430573815208860e+06,2.588241448151933495e+06,6.992110706588175148e+06
4.460575196271023015e+05,2.549515449241984636e+06,6.495430008701557294e+06,2.588241939374957699e+06,6.992110363451091573e+06
4.460578679537222488e+05,2.549515854235088918e+06,6.495428958511224948e+06,2.588242398338976316e+06,6.992109557753347792e+06
4.460583951801141957e+05,2.549516046965625603e+06,6.495427685789851472e+06,2.588242679048062302e+06,6.992108479348070920e+06
4.460586140160997747e+05,2.549516461226899642e+06,6.495426992433978245e+06,2.588243124825196341e+06,6.992108000256060623e+06
4.460591309783774777e+05,2.549516550733720884e+06,6.495425840637478046e+06,2.588243302086254116e+06,6.992106995892971754e+06
4.460596495146108791e+05,2.549516817682187073e+06,6.495425276798672043e+06,2.588243654405319598e+06,6.992106602522912435e+06
4.460604693638453609e+05,2.549517199234097265e+06,6.495422853217746131e+06,2.588244171541697811e+06,6.992104542526730336e+06
4.460608770499442471e+05,2.549517664506398141e+06,6.495422032078113407e+06,2.588244700113326777e+06,6.992103975376116112e+06
4.460613208680407843e+05,2.549517923289015889e+06,6.495420836457841098e+06,2.588245031511985231e+06,6.992102987359179184e+06
4.460616277893509832e+05,2.549518665446537081e+06,6.495419051602234133e+06,2.588245815460034180e+06,6.992101619482059963e+06
4.460622901629180415e+05,2.549518917262725066e+06,6.495417882938608527e+06,2.588246177662759554e+06,6.992100667909791693e+06
