version,nBlocks,reserved0,blockId_01,jammingState_01,antStatus_01,antPower_01,postStatus_01,reserved1_01,noisePerMS_01,agcCnt_01,jamInd_01,ofsI_01,magI_01,ofsQ_01,magQ_01,reserved2_01,blockId_02,jammingState_02,antStatus_02,antPower_02,postStatus_02,reserved1_02,noisePerMS_02,agcCnt_02,jamInd_02,ofsI_02,magI_02,ofsQ_02,magQ_02,reserved2_02
0,2,0,0,1,1,2,0,0,106,4914,5,15,227,19,225,0,1,1,1,2,0,0,53,3861,2,16,192,11,186,0
0,2,0,0,1,1,2,0,0,106,4563,3,14,132,19,143,0,1,1,1,2,0,0,52,3510,2,11,149,10,156,0
0,2,0,0,1,1,2,0,0,106,4563,5,19,139,15,127,0,1,1,1,2,0,0,49,3510,2,0,95,6,82,0
0,2,0,0,1,1,2,0,0,106,4563,4,12,123,-7,120,0,1,1,1,2,0,0,49,3861,1,-7,166,-7,125,0
0,2,0,0,1,1,2,0,0,113,4914,8,16,158,5,154,0,1,1,1,2,0,0,53,3861,3,0,142,8,138,0
0,2,0,0,1,1,2,0,0,121,4914,11,12,157,7,158,0,1,1,1,2,0,0,56,3861,3,-15,156,10,152,0
0,2,0,0,1,1,2,0,0,121,4914,8,13,156,1,156,0,1,1,1,2,0,0,60,3861,2,17,153,-1,139,0
0,2,0,0,1,1,2,0,0,121,4914,7,15,161,4,159,0,1,1,1,2,0,0,60,4212,3,-7,116,12,122,0
0,2,0,0,1,1,2,0,0,121,4914,6,11,201,3,190,0,1,1,1,2,0,0,60,4212,4,-2,200,-4,137,0
0,2,0,0,1,1,2,0,0,120,4914,9,13,155,4,159,0,1,1,1,2,0,0,60,4212,4,22,186,3,164,0
0,2,0,0,1,1,2,0,0,120,4914,8,12,153,5,157,0,1,1,1,2,0,0,60,4212,3,8,144,14,158,0
0,2,0,0,1,1,2,0,0,120,4914,11,11,155,0,152,0,1,1,1,2,0,0,60,4212,4,11,210,17,185,0
0,2,0,0,1,1,2,0,0,120,4914,7,15,161,0,162,0,1,1,1,2,0,0,60,4212,4,7,188,-6,174,0
0,2,0,0,1,1,2,0,0,120,4914,5,15,160,4,149,0,1,1,1,2,0,0,60,4212,5,15,196,11,186,0
0,2,0,0,1,1,2,0,0,120,4914,7,14,155,4,153,0,1,1,1,2,0,0,60,4212,5,10,221,18,219,0
