iTOW,tAcc,nano,year,month,day,hour,min,sec,validTOW,validWKN,validUTC,authStatus,utcStandard
94515700,22,700359824,2025,10,27,2,14,57,1,1,1,0,3
94515900,22,900359781,2025,10,27,2,14,57,1,1,1,0,3
94516000,22,359760,2025,10,27,2,14,58,1,1,1,0,3
94516200,22,200359718,2025,10,27,2,14,58,1,1,1,0,3
94516400,22,400359675,2025,10,27,2,14,58,1,1,1,0,3
94516500,22,500359654,2025,10,27,2,14,58,1,1,1,0,3
94516600,22,600359632,2025,10,27,2,14,58,1,1,1,0,3
94516700,22,700359611,2025,10,27,2,14,58,1,1,1,0,3
94516800,22,800359590,2025,10,27,2,14,58,1,1,1,0,3
94516900,22,900359568,2025,10,27,2,14,58,1,1,1,0,3
94517100,22,100359526,2025,10,27,2,14,59,1,1,1,0,3
94517300,22,300359484,2025,10,27,2,14,59,1,1,1,0,3
94517400,22,400359463,2025,10,27,2,14,59,1,1,1,0,3
94517500,22,500359441,2025,10,27,2,14,59,1,1,1,0,3
94517600,22,600359420,2025,10,27,2,14,59,1,1,1,0,3
94517700,22,700359399,2025,10,27,2,14,59,1,1,1,0,3
94517800,22,800359378,2025,10,27,2,14,59,1,1,1,0,3
94518000,22,359335,2025,10,27,2,15,0,1,1,1,0,3
94518200,22,200359293,2025,10,27,2,15,0,1,1,1,0,3
94518300,22,300359272,2025,10,27,2,15,0,1,1,1,0,3
94518400,22,400359250,2025,10,27,2,15,0,1,1,1,0,3
94518500,22,500359229,2025,10,27,2,15,0,1,1,1,0,3
94518600,22,600359208,2025,10,27,2,15,0,1,1,1,0,3
94518700,22,700359187,2025,10,27,2,15,0,1,1,1,0,3
94518800,22,800359165,2025,10,27,2,15,0,1,1,1,0,3
94518900,22,900359144,2025,10,27,2,15,0,1,1,1,0,3
94519000,22,359123,2025,10,27,2,15,1,1,1,1,0,3
94519100,22,100359102,2025,10,27,2,15,1,1,1,1,0,3
94519200,22,200359081,2025,10,27,2,15,1,1,1,1,0,3
94519300,22,300359060,2025,10,27,2,15,1,1,1,1,0,3
94519400,22,400359038,2025,10,27,2,15,1,1,1,1,0,3
94519500,22,500359017,2025,10,27,2,15,1,1,1,1,0,3
94519600,22,600358996,2025,10,27,2,15,1,1,1,1,0,3
94519700,22,700358975,2025,10,27,2,15,1,1,1,1,0,3
94519800,22,800358954,2025,10,27,2,15,1,1,1,1,0,3
94519900,22,900358932,2025,10,27,2,15,1,1,1,1,0,3
94520000,22,358911,2025,10,27,2,15,2,1,1,1,0,3
94520100,22,100358890,2025,10,27,2,15,2,1,1,1,0,3
94520200,22,200358869,2025,10,27,2,15,2,1,1,1,0,3
94520300,22,300358848,2025,10,27,2,15,2,1,1,1,0,3
94520400,22,400358826,2025,10,27,2,15,2,1,1,1,0,3
94520500,22,500358805,2025,10,27,2,15,2,1,1,1,0,3
94520600,22,600358784,2025,10,27,2,15,2,1,1,1,0,3
94520700,22,700358763,2025,10,27,2,15,2,1,1,1,0,3
94520800,22,800358742,2025,10,27,2,15,2,1,1,1,0,3
94520900,22,900358720,2025,10,27,2,15,2,1,1,1,0,3
94521000,22,358699,2025,10,27,2,15,3,1,1,1,0,3
94521100,22,100358678,2025,10,27,2,15,3,1,1,1,0,3
94521200,22,200358657,2025,10,27,2,15,3,1,1,1,0,3
94521300,22,300358635,2025,10,27,2,15,3,1,1,1,0,3
94521400,22,400358614,2025,10,27,2,15,3,1,1,1,0,3
94521500,22,500358593,2025,10,27,2,15,3,1,1,1,0,3
94521600,22,600358572,2025,10,27,2,15,3,1,1,1,0,3
94521700,22,700358551,2025,10,27,2,15,3,1,1,1,0,3
94521800,22,800358530,2025,10,27,2,15,3,1,1,1,0,3
94521900,22,900358509,2025,10,27,2,15,3,1,1,1,0,3
94522000,22,358488,2025,10,27,2,15,4,1,1,1,0,3
94522100,22,100358467,2025,10,27,2,15,4,1,1,1,0,3
94522200,22,200358446,2025,10,27,2,15,4,1,1,1,0,3
94522300,22,300358424,2025,10,27,2,15,4,1,1,1,0,3
94522400,22,400358403,2025,10,27,2,15,4,1,1,1,0,3
94522500,22,500358382,2025,10,27,2,15,4,1,1,1,0,3
94522600,22,600358361,2025,10,27,2,15,4,1,1,1,0,3
94522700,22,700358340,2025,10,27,2,15,4,1,1,1,0,3
94522800,22,800358319,2025,10,27,2,15,4,1,1,1,0,3
94522900,22,900358298,2025,10,27,2,15,4,1,1,1,0,3
94523000,22,358277,2025,10,27,2,15,5,1,1,1,0,3
94523100,22,100358256,2025,10,27,2,15,5,1,1,1,0,3
94523200,22,200358235,2025,10,27,2,15,5,1,1,1,0,3
94523300,22,300358214,2025,10,27,2,15,5,1,1,1,0,3
94523400,22,400358193,2025,10,27,2,15,5,1,1,1,0,3
94523500,22,500358172,2025,10,27,2,15,5,1,1,1,0,3
94523600,22,600358151,2025,10,27,2,15,5,1,1,1,0,3
94523700,22,700358130,2025,10,27,2,15,5,1,1,1,0,3
94523800,22,800358109,2025,10,27,2,15,5,1,1,1,0,3
94523900,22,900358088,2025,10,27,2,15,5,1,1,1,0,3
94524000,22,358067,2025,10,27,2,15,6,1,1,1,0,3
94524100,22,100358046,2025,10,27,2,15,6,1,1,1,0,3
94524200,22,200358025,2025,10,27,2,15,6,1,1,1,0,3
94524300,22,300358004,2025,10,27,2,15,6,1,1,1,0,3
94524400,22,400357983,2025,10,27,2,15,6,1,1,1,0,3
94524500,22,500357962,2025,10,27,2,15,6,1,1,1,0,3
94524600,22,600357940,2025,10,27,2,15,6,1,1,1,0,3
94524700,22,700357919,2025,10,27,2,15,6,1,1,1,0,3
94524800,22,800357898,2025,10,27,2,15,6,1,1,1,0,3
94524900,22,900357877,2025,10,27,2,15,6,1,1,1,0,3
94525000,22,357855,2025,10,27,2,15,7,1,1,1,0,3
94525100,22,100357833,2025,10,27,2,15,7,1,1,1,0,3
