iTOW,fTOW,week,leapS,towValid,weekValid,leapSValid,tAcc
94513700,360247,2390,18,1,1,1,2
94513900,360205,2390,18,1,1,1,2
94514000,360184,2390,18,1,1,1,2
94514200,360141,2390,18,1,1,1,2
94514400,360099,2390,18,1,1,1,2
94514500,360078,2390,18,1,1,1,2
94514700,360035,2390,18,1,1,1,2
94514900,359993,2390,18,1,1,1,2
94515000,359972,2390,18,1,1,1,2
94515200,359929,2390,18,1,1,1,2
94515300,359908,2390,18,1,1,1,2
94515400,359887,2390,18,1,1,1,2
94515500,359866,2390,18,1,1,1,2
94515700,359823,2390,18,1,1,1,2
94515900,359781,2390,18,1,1,1,2
94516000,359760,2390,18,1,1,1,2
94516200,359717,2390,18,1,1,1,2
94516400,359675,2390,18,1,1,1,2
94516500,359653,2390,18,1,1,1,2
94516600,359632,2390,18,1,1,1,2
94516700,359610,2390,18,1,1,1,2
94516800,359589,2390,18,1,1,1,2
94516900,359568,2390,18,1,1,1,2
94517100,359526,2390,18,1,1,1,2
94517300,359483,2390,18,1,1,1,2
94517400,359462,2390,18,1,1,1,2
94517500,359441,2390,18,1,1,1,2
94517600,359420,2390,18,1,1,1,2
94517700,359398,2390,18,1,1,1,2
94517800,359377,2390,18,1,1,1,2
94518000,359335,2390,18,1,1,1,2
94518200,359293,2390,18,1,1,1,2
94518300,359271,2390,18,1,1,1,2
94518400,359250,2390,18,1,1,1,2
94518500,359229,2390,18,1,1,1,2
94518600,359208,2390,18,1,1,1,2
94518700,359186,2390,18,1,1,1,2
94518800,359165,2390,18,1,1,1,2
94518900,359144,2390,18,1,1,1,2
94519000,359123,2390,18,1,1,1,2
94519100,359102,2390,18,1,1,1,2
94519200,359081,2390,18,1,1,1,2
94519300,359059,2390,18,1,1,1,2
94519400,359038,2390,18,1,1,1,2
94519500,359017,2390,18,1,1,1,2
94519600,358996,2390,18,1,1,1,2
94519700,358975,2390,18,1,1,1,2
94519800,358953,2390,18,1,1,1,2
94519900,358932,2390,18,1,1,1,2
94520000,358911,2390,18,1,1,1,2
94520100,358890,2390,18,1,1,1,2
94520200,358868,2390,18,1,1,1,2
94520300,358847,2390,18,1,1,1,2
94520400,358826,2390,18,1,1,1,2
94520500,358805,2390,18,1,1,1,2
94520600,358784,2390,18,1,1,1,2
94520700,358763,2390,18,1,1,1,2
94520800,358741,2390,18,1,1,1,2
94520900,358720,2390,18,1,1,1,2
94521000,358699,2390,18,1,1,1,2
94521100,358678,2390,18,1,1,1,2
94521200,358656,2390,18,1,1,1,2
94521300,358635,2390,18,1,1,1,2
94521400,358614,2390,18,1,1,1,2
94521500,358593,2390,18,1,1,1,2
94521600,358572,2390,18,1,1,1,2
94521700,358551,2390,18,1,1,1,2
94521800,358530,2390,18,1,1,1,2
94521900,358509,2390,18,1,1,1,2
94522000,358487,2390,18,1,1,1,2
94522100,358466,2390,18,1,1,1,2
94522200,358445,2390,18,1,1,1,2
94522300,358424,2390,18,1,1,1,2
94522400,358403,2390,18,1,1,1,2
94522500,358382,2390,18,1,1,1,2
94522600,358361,2390,18,1,1,1,2
94522700,358340,2390,18,1,1,1,2
94522800,358319,2390,18,1,1,1,2
94522900,358298,2390,18,1,1,1,2
94523000,358277,2390,18,1,1,1,2
94523100,358256,2390,18,1,1,1,2
94523200,358235,2390,18,1,1,1,2
94523300,358214,2390,18,1,1,1,2
94523400,358193,2390,18,1,1,1,2
94523500,358172,2390,18,1,1,1,2
94523600,358150,2390,18,1,1,1,2
94523700,358129,2390,18,1,1,1,2
94523800,358108,2390,18,1,1,1,2
94523900,358087,2390,18,1,1,1,2
94524000,358066,2390,18,1,1,1,2
94524100,358045,2390,18,1,1,1,2
94524200,358024,2390,18,1,1,1,2
94524300,358003,2390,18,1,1,1,2
94524400,357982,2390,18,1,1,1,2
94524500,357961,2390,18,1,1,1,2
94524600,357940,2390,18,1,1,1,2
94524700,357919,2390,18,1,1,1,2
94524800,357898,2390,18,1,1,1,2
94524900,357876,2390,18,1,1,1,2
94525000,357855,2390,18,1,1,1,2
94525100,357833,2390,18,1,1,1,2
94525200,357812,2390,18,1,1,1,2
94525300,357791,2390,18,1,1,1,2
94525400,357770,2390,18,1,1,1,2
94525500,357749,2390,18,1,1,1,2
94525600,357728,2390,18,1,1,1,2
94525700,357707,2390,18,1,1,1,2
94525800,357686,2390,18,1,1,1,2
94525900,357665,2390,18,1,1,1,2
94526000,357644,2390,18,1,1,1,2
