towMS,towSubMS,qErr,week,timeBase,utc,raim,qErrInvalid,TpNotLocked,timeRefGnss,utcStandard
94685000,0.0,0,2390,1,1,2,1,0,15,3
94688000,0.0,0,2390,1,1,2,1,0,15,3
94689000,0.0,0,2390,1,1,2,1,0,15,3
94690000,0.0,0,2390,1,1,2,1,0,15,3
94691000,0.0,0,2390,1,1,2,1,0,15,3
94693000,0.0,0,2390,1,1,2,1,0,15,3
94694000,0.0,0,2390,1,1,2,1,0,15,3
94695000,0.0,0,2390,1,1,2,1,0,15,3
94697000,0.0,0,2390,1,1,2,1,0,15,3
94698000,0.0,0,2390,1,1,2,1,0,15,3
94699000,0.0,0,2390,1,1,2,1,0,15,3
