version,reserved0,iTOW,ecefX,ecefY,ecefZ,invalidEcef,pAcc
0,0,94496600,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94496700,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94496800,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94496900,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94497000,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94497100,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94497200,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94497300,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94497400,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94497500,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94497600,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94497700,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94497800,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94497900,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94498000,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94498100,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94498200,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94498300,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94498400,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94498500,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94498600,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94498700,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94498800,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94498900,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94499000,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94499100,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94499200,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94499300,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94499400,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94499500,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94499600,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94499700,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94499800,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94499900,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94500000,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94500100,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94500200,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94500300,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94500400,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94500500,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94500600,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94500700,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94500800,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94500900,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94501000,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94501100,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94501200,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94501300,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94501400,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94501500,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94501600,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94501700,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94501800,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94501900,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94502000,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94502100,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94502200,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94502300,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94502400,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94502500,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94502600,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94502700,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94502800,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94502900,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94503000,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94503100,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94503200,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94503300,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94503400,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94503500,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94503600,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94503700,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94503800,-241821496.8,538575616.23,240576529.73,0,1970.1
0,0,94503900,-241821496.8,538575616.23,240576529.73,0,1970.1
