iTOW,version,reserved0,srcOfCurrLs,currLs,srcOfLsChange,lsChange,timeToLsEvent,dateOfLsGpsWn,dateOfLsGpsDn,reserved1,validCurrLs,validTimeToLsEvent
94504500,0,0,2,18,2,0,31355114,2441,7,0,1,1
94504600,0,0,2,18,2,0,31355114,2441,7,0,1,1
94504700,0,0,2,18,2,0,31355114,2441,7,0,1,1
94504800,0,0,2,18,2,0,31355114,2441,7,0,1,1
94504900,0,0,2,18,2,0,31355114,2441,7,0,1,1
94505000,0,0,2,18,2,0,31355113,2441,7,0,1,1
94505100,0,0,2,18,2,0,31355113,2441,7,0,1,1
94505200,0,0,2,18,2,0,31355113,2441,7,0,1,1
94505300,0,0,2,18,2,0,31355113,2441,7,0,1,1
94505400,0,0,2,18,2,0,31355113,2441,7,0,1,1
94505500,0,0,2,18,2,0,31355113,2441,7,0,1,1
94505600,0,0,2,18,2,0,31355113,2441,7,0,1,1
94505700,0,0,2,18,2,0,31355113,2441,7,0,1,1
94505800,0,0,2,18,2,0,31355113,2441,7,0,1,1
94505900,0,0,2,18,2,0,31355113,2441,7,0,1,1
94506000,0,0,2,18,2,0,31355112,2441,7,0,1,1
94506200,0,0,2,18,2,0,31355112,2441,7,0,1,1
94506400,0,0,2,18,2,0,31355112,2441,7,0,1,1
94506500,0,0,2,18,2,0,31355112,2441,7,0,1,1
94506600,0,0,2,18,2,0,31355112,2441,7,0,1,1
94506700,0,0,2,18,2,0,31355112,2441,7,0,1,1
94506800,0,0,2,18,2,0,31355112,2441,7,0,1,1
94506900,0,0,2,18,2,0,31355112,2441,7,0,1,1
94507000,0,0,2,18,2,0,31355111,2441,7,0,1,1
94507100,0,0,2,18,2,0,31355111,2441,7,0,1,1
94507200,0,0,2,18,2,0,31355111,2441,7,0,1,1
94507400,0,0,2,18,2,0,31355111,2441,7,0,1,1
94507600,0,0,2,18,2,0,31355111,2441,7,0,1,1
94507700,0,0,2,18,2,0,31355111,2441,7,0,1,1
94507800,0,0,2,18,2,0,31355111,2441,7,0,1,1
94507900,0,0,2,18,2,0,31355111,2441,7,0,1,1
