ofsI,magI,ofsQ,magQ,cfgSource,reserved0,lowLevCfg,reserved1,postStatus,reserved2
12,162,8,155,0,4989031,4294967295,18446744073709551615,0,0
11,183,10,199,0,5891180,4294967295,18446744073709551615,0,0
6,142,11,144,0,14893505,4294967295,18446744073709551615,0,0
13,143,3,130,0,8376418,4294967295,18446744073709551615,0,0
17,169,9,163,0,6374683,4294967295,18446744073709551615,0,0
-8,189,-1,181,0,4853796,4294967295,18446744073709551615,0,0
15,109,11,107,0,9453326,4294967295,18446744073709551615,0,0
18,93,-6,90,0,6629123,4294967295,18446744073709551615,0,0
21,132,-4,119,0,1820614,4294967295,18446744073709551615,0,0
19,128,15,136,0,7728875,4294967295,18446744073709551615,0,0
15,131,23,133,0,5595392,4294967295,18446744073709551615,0,0
9,155,-1,155,0,5993656,4294967295,18446744073709551615,0,0
10,177,-2,179,0,4502197,4294967295,18446744073709551615,0,0
12,158,4,154,0,1519636,4294967295,18446744073709551615,0,0
12,197,-3,177,0,9297416,4294967295,18446744073709551615,0,0
21,145,7,162,0,6219111,4294967295,18446744073709551615,0,0
1,191,2,142,0,9668407,4294967295,18446744073709551615,0,0
21,167,-2,172,0,6681468,4294967295,18446744073709551615,0,0
15,167,2,166,0,3273753,4294967295,18446744073709551615,0,0
10,171,5,135,0,9729872,4294967295,18446744073709551615,0,0
21,134,7,107,0,15241755,4294967295,18446744073709551615,0,0
13,157,13,126,0,7521485,4294967295,18446744073709551615,0,0
