iTOW,velN,velE,velD,speed,gSpeed,heading,sAcc,cAcc
94519000,0,0,0,0,0,0.0,1,57.29578
94519100,0,0,0,0,0,0.0,1,57.29578
94519200,0,0,0,0,0,0.0,1,57.29578
94519300,0,0,0,0,0,0.0,1,57.29578
94519400,0,0,0,0,0,0.0,1,57.29578
94519500,0,0,0,0,0,0.0,1,57.29578
94519600,0,0,0,0,0,0.0,1,57.29578
94519700,0,0,0,0,0,0.0,1,57.29578
94519800,0,0,0,0,0,0.0,1,57.29578
94519900,0,0,0,0,0,0.0,1,57.29578
94520000,0,0,0,0,0,0.0,1,57.29578
94520100,0,0,0,0,0,0.0,1,57.29578
94520200,0,0,0,0,0,0.0,1,57.29578
94520300,0,0,0,0,0,0.0,1,57.29578
94520400,0,0,0,0,0,0.0,1,57.29578
94520500,0,0,0,0,0,0.0,1,57.29578
94520600,0,0,0,0,0,0.0,1,57.29578
94520700,0,0,0,0,0,0.0,1,57.29578
94520800,0,0,0,0,0,0.0,1,57.29578
94520900,0,0,0,0,0,0.0,1,57.29578
94521000,0,0,0,0,0,0.0,1,57.29578
94521100,0,0,0,0,0,0.0,1,57.29578
94521200,0,0,0,0,0,0.0,1,57.29578
94521300,0,0,0,0,0,0.0,1,57.29578
94521400,0,0,0,0,0,0.0,1,57.29578
94521500,0,0,0,0,0,0.0,1,57.29578
94521600,0,0,0,0,0,0.0,1,57.29578
94521700,0,0,0,0,0,0.0,1,57.29578
94521800,0,0,0,0,0,0.0,1,57.29578
94521900,0,0,0,0,0,0.0,1,57.29578
94522000,0,0,0,0,0,0.0,1,57.29578
94522100,0,0,0,0,0,0.0,1,57.29578
94522200,0,0,0,0,0,0.0,1,57.29578
94522300,0,0,0,0,0,0.0,1,57.29578
94522400,0,0,0,0,0,0.0,1,57.29578
94522500,0,0,0,0,0,0.0,1,57.29578
94522600,0,0,0,0,0,0.0,1,57.29578
94522700,0,0,0,0,0,0.0,1,57.29578
94522800,0,0,0,0,0,0.0,1,57.29578
