version,reserved0,invalidLlh,iTOW,lon,lat,height,hMSL,hAcc,vAcc
0,0,0,108579900,114.181186915,22.300938534,16451.5,18055.2,325.4,583.4
0,0,0,108580000,114.181187698,22.300938071,16435.3,18038.9,325.0,582.5
0,0,0,108580200,114.181189381,22.30093715,16445.0,18048.7,324.9,582.2
0,0,0,108580300,114.18119012,22.300936911,16481.3,18084.9,324.4,581.4
0,0,0,108580500,114.181191702,22.300936101,16475.7,18079.3,324.4,581.1
0,0,0,108580700,114.181193664,22.300935616,16459.3,18062.8,324.3,580.8
0,0,0,108580800,114.18119492,22.30093518,16474.6,18078.1,323.9,580.0
0,0,0,108581000,114.181196846,22.300933967,16478.5,18082.1,323.8,579.7
0,0,0,108581200,114.181198439,22.300933044,16460.2,18063.7,323.7,579.4
0,0,0,108581300,114.181199312,22.300932438,16459.2,18062.8,323.3,578.6
0,0,0,108581500,114.181200963,22.300931476,16456.3,18059.8,323.3,578.3
0,0,0,108581700,114.18120261,22.30093086,16431.4,18034.9,323.2,578.1
0,0,0,108581800,114.181203815,22.300930343,16412.7,18016.3,322.8,577.3
0,0,0,108582000,114.181205345,22.300929359,16457.1,18060.6,322.7,577.0
0,0,0,108582200,114.181206913,22.300927664,16434.5,18038.0,322.6,576.8
0,0,0,108582400,114.18120875,22.300926154,16415.8,18019.3,322.6,576.5
0,0,0,108582600,114.181209994,22.300925082,16409.8,18013.3,322.5,576.3
0,0,0,108582700,114.18121144,22.300924946,16392.5,17996.0,322.1,575.5
0,0,0,108582800,114.18121215,22.300924659,16349.6,17953.1,321.7,574.7
0,0,0,108582900,114.181213277,22.300924431,16337.3,17940.8,321.3,574.0
0,0,0,108583000,114.181214637,22.300924222,16332.3,17935.8,320.8,573.2
0,0,0,108583200,114.181216718,22.30092324,16324.2,17927.7,320.8,573.0
0,0,0,108583400,114.181218528,22.300921889,16286.6,17890.0,320.8,572.8
0,0,0,108583600,114.18122032,22.300921151,16311.7,17915.2,320.7,572.5
0,0,0,108583800,114.181222276,22.30092047,16293.7,17897.2,320.6,572.3
0,0,0,108583900,114.181223146,22.300920244,16276.7,17880.2,320.2,571.5
0,0,0,108584100,114.181225341,22.300919385,16293.9,17897.4,320.1,571.3
0,0,0,108584300,114.18122755,22.300918509,16284.5,17887.9,320.1,571.1
0,0,0,108584500,114.181229943,22.300917194,16200.5,17804.0,320.1,570.9
0,0,0,108584700,114.181231634,22.300916516,16241.3,17844.8,320.0,570.7
0,0,0,108584800,114.181232467,22.300915929,16245.8,17849.2,319.6,569.9
0,0,0,108584900,114.181233447,22.300915537,16215.3,17818.7,319.2,569.2
0,0,0,108585100,114.181235668,22.300914844,16196.8,17800.2,319.1,569.0
0,0,0,108585300,114.181237952,22.300913899,16214.0,17817.5,319.1,568.8
0,0,0,108585500,114.181239781,22.300912452,16187.0,17790.4,319.0,568.6
0,0,0,108585700,114.181241657,22.300911376,16190.6,17794.0,319.0,568.4
0,0,0,108585900,114.181243271,22.300910959,16218.5,17821.9,319.0,568.2
