iTOW,version,posCovValid,velCovValid,reserved0,posCovNN,posCovNE,posCovND,posCovEE,posCovED,posCovDD,velCovNN,velCovNE,velCovND,velCovEE,velCovED,velCovDD
569613000,0,1,1,1171368248954360692736,0.1270754039287567,-0.015374047681689262,0.033960409462451935,0.21325913071632385,0.08551803976297379,1.2521872520446777,0.0029353464487940073,-0.00021951459348201752,-0.00018542744510341436,0.004342466127127409,0.001979241380468011,0.022160079330205917
569614000,0,1,1,1171368248954360692736,0.12411974370479584,-0.014232577756047249,0.03354131430387497,0.2084456831216812,0.08665501326322556,1.2333335876464844,0.002675000810995698,-0.00023359183978755027,-0.0006943545304238796,0.004691763781011105,0.0018197163008153439,0.019206352531909943
569615000,0,1,1,1171368248954360692736,0.121436208486557,-0.013166924938559532,0.03284124657511711,0.20293009281158447,0.08479589223861694,1.2138781547546387,0.0027752236928790808,-0.00018702703528106213,-0.0008072214550338686,0.003682489972561598,0.0008132909424602985,0.018407033756375313
569616000,0,1,1,1171368248954360692736,0.11910480260848999,-0.011951716616749763,0.03182743489742279,0.19827041029930115,0.0825459361076355,1.1955097913742065,0.002764207310974598,-0.00014669093070551753,-0.0005672742845490575,0.004628751892596483,0.0011558015830814838,0.0190754234790802
569617000,0,1,1,1171368248954360692736,0.11698215454816818,-0.010801238939166069,0.03098335862159729,0.19555693864822388,0.08127294480800629,1.1828737258911133,0.0027797548100352287,-0.00023959747340995818,-0.000624697539024055,0.004361175000667572,0.001249212073162198,0.02118208259344101
569618000,0,1,1,1171368248954360692736,0.11519218236207962,-0.009746373631060123,0.030758153647184372,0.19234830141067505,0.0792793408036232,1.1713316440582275,0.002739492803812027,-0.0001557790965307504,-0.0004552873142529279,0.004272294696420431,0.0011535778176039457,0.019838502630591393
569619000,0,1,1,1171368248954360692736,0.11358654499053955,-0.008652194403111935,0.03053424507379532,0.18921294808387756,0.07727308571338654,1.159153938293457,0.0026766653172671795,-0.0001053434971254319,-0.0003864570753648877,0.004060238599777222,0.0011325537925586104,0.01949581690132618
569620000,0,1,1,1171368248954360692736,0.11214903742074966,-0.007946709170937538,0.03021259233355522,0.1869436502456665,0.07537006586790085,1.1501810550689697,0.0030356300994753838,-0.00015397343668155372,-0.00020335007866378874,0.005051749292761087,0.0010376112768426538,0.021986067295074463
569621000,0,1,1,1171368248954360692736,0.11157310009002686,-0.007522182539105415,0.030595170333981514,0.18527664244174957,0.07195901870727539,1.1552538871765137,0.002773950807750225,-6.320144166238606e-05,0.0001824406353989616,0.0043664961121976376,0.0008898864034563303,0.022630751132965088
569622000,0,1,1,1171368248954360692736,0.11053875088691711,-0.006954568438231945,0.031415536999702454,0.1827813982963562,0.06894860416650772,1.155137538909912,0.0021214415319263935,1.5986093785613775e-05,0.000282862049061805,0.002955149859189987,0.0008733684080652893,0.017779231071472168
569623000,0,1,1,1171368248954360692736,0.10970000922679901,-0.006646111607551575,0.032660238444805145,0.18231454491615295,0.06690621376037598,1.1619946956634521,0.003006318584084511,-8.573918603360653e-05,0.00033481654827483,0.006263190880417824,0.0009155529551208019,0.025791814550757408
569624000,0,1,1,1171368248954360692736,0.10931304842233658,-0.006491272710263729,0.0332532562315464,0.18226909637451172,0.06384927034378052,1.1694293022155762,0.002641073428094387,-0.00014449466834776103,-1.548654108773917e-05,0.004567133262753487,0.000630040536634624,0.02361375093460083
569625000,0,1,1,1171368248954360692736,0.10897395014762878,-0.00621404405683279,0.0339190699160099,0.18184047937393188,0.061701640486717224,1.178991436958313,0.0029483046382665634,0.00012205209350213408,0.000584069115575403,0.005119765643030405,0.0012239477364346385,0.02671574056148529
569626000,0,1,1,1171368248954360692736,0.1091117411851883,-0.005595141090452671,0.03549305349588394,0.18267622590065002,0.06171080097556114,1.1879595518112183,0.0032783341594040394,1.665967283770442e-05,0.0005435426137410104,0.005811149254441261,0.0020176954567432404,0.02853180281817913
569627000,0,1,1,1171368248954360692736,0.10928378999233246,-0.005562946200370789,0.03571410849690437,0.18548297882080078,0.0640004426240921,1.198991060256958,0.0033953243400901556,-0.00020866887643933296,-0.0006879140855744481,0.005655711051076651,0.0018083774484694004,0.030372321605682373
569628000,0,1,1,1171368248954360692736,0.1090155839920044,-0.00582593958824873,0.035700246691703796,0.1881921887397766,0.0647871121764183,1.2019948959350586,0.0029381923377513885,-0.0004957116325385869,0.0004122832615394145,0.005848869681358337,0.0010747824562713504,0.02436184510588646
569629000,0,1,1,1171368248954360692736,0.10871581733226776,-0.006301889196038246,0.034370824694633484,0.18846644461154938,0.061204999685287476,1.1975610256195068,0.003019647905603051,-0.00035440802457742393,-0.0008469863678328693,0.0050088996067643166,0.0005945733282715082,0.023477880284190178
569630000,0,1,1,1171368248954360692736,0.10785701870918274,-0.007009126245975494,0.033438704907894135,0.18555308878421783,0.05360791087150574,1.1866189241409302,0.002715181326493621,-0.0002583015011623502,-0.00032136193476617336,0.0043884459882974625,5.711568519473076e-05,0.022892072796821594
569631000,0,1,1,1171368248954360692736,0.10682816058397293,-0.007464517839252949,0.0331084169447422,0.18219402432441711,0.04624997079372406,1.1713993549346924,0.0027773240581154823,-0.0004041941137984395,-0.00029629672644659877,0.004185063764452934,-0.0005766223184764385,0.021253207698464394
569632000,0,1,1,1171368248954360692736,0.10615729540586472,-0.008014912717044353,0.031901177018880844,0.1796075999736786,0.03767720237374306,1.1620761156082153,0.0028286718297749758,-0.00017430793377570808,-0.0007008204702287912,0.004661065526306629,-0.0011062818812206388,0.023095613345503807
569633000,0,1,1,1171368248954360692736,0.1053345650434494,-0.00880933552980423,0.03122313693165779,0.17785429954528809,0.02963944338262081,1.1527752876281738,0.0027670208364725113,-0.0005519911646842957,-0.0005135043174959719,0.004731210879981518,-0.0006498369621112943,0.02248489111661911
569634000,0,1,1,1171368248954360692736,0.104988232254982,-0.00938742607831955,0.028697937726974487,0.1757771074771881,0.02360854670405388,1.143747091293335,0.0030990855302661657,-0.0004825916839763522,-0.0013844191562384367,0.004748109728097916,-0.0005095957312732935,0.024507809430360794
569635000,0,1,1,1171368248954360692736,0.10445339977741241,-0.009884238243103027,0.027047066017985344,0.173781618475914,0.017918603494763374,1.130338430404663,0.0027260014321655035,-0.0005607280181720853,-0.0004673323128372431,0.004711230285465717,-0.0009689661092124879,0.020374897867441177
569636000,0,1,1,1171368248954360692736,0.10340271890163422,-0.010229693725705147,0.027176164090633392,0.17179147899150848,0.01327667199075222,1.1119428873062134,0.002623737556859851,-0.00028403132455423474,5.967594916000962e-06,0.004577376879751682,-0.00015207717660814524,0.020036157220602036
569637000,0,1,1,1171368248954360692736,0.10260732471942902,-0.010589919984340668,0.028706202283501625,0.1705949902534485,0.008495310321450233,1.0959758758544922,0.002650531707331538,-0.00026594201335683465,0.00042769830906763673,0.0048936535604298115,-0.00015422108117491007,0.019081028178334236
569638000,0,1,1,1171368248954360692736,0.10157670080661774,-0.01097115408629179,0.030703041702508926,0.1689222753047943,0.004471778869628906,1.078396201133728,0.0024351647589355707,-0.0003184368251822889,0.0005820723599754274,0.003631467465311289,4.13194065913558e-05,0.016350766643881798
569639000,0,1,1,1171368248954360692736,0.10107911378145218,-0.011485079303383827,0.03174864500761032,0.16817942261695862,-0.00014981254935264587,1.0695374011993408,0.0029254956170916557,-0.0004984751576557755,-0.00019186001736670732,0.005472775083035231,-0.0010515865869820118,0.021481864154338837
