version,nBlocks,reserved0,blockId_01,jammingState_01,antStatus_01,antPower_01,postStatus_01,reserved1_01,noisePerMS_01,agcCnt_01,jamInd_01,ofsI_01,magI_01,ofsQ_01,magQ_01,reserved2_01,blockId_02,jammingState_02,antStatus_02,antPower_02,postStatus_02,reserved1_02,noisePerMS_02,agcCnt_02,jamInd_02,ofsI_02,magI_02,ofsQ_02,magQ_02,reserved2_02
0,2,0,0,0,1,2,0,0,114,3861,11,12,146,19,145,0,1,0,1,2,0,0,49,3159,14,20,150,15,163,0
0,2,0,0,0,1,2,0,0,114,3861,18,18,148,13,144,0,1,0,1,2,0,0,49,3159,15,14,145,19,128,0
0,2,0,0,0,1,2,0,0,114,3861,15,22,147,16,139,0,1,0,1,2,0,0,49,3159,15,16,163,10,163,0
0,2,0,0,0,1,2,0,0,114,3861,12,16,147,10,141,0,1,0,1,2,0,0,49,3159,15,24,160,16,169,0
0,2,0,0,0,1,2,0,0,114,3861,10,18,148,18,142,0,1,0,1,2,0,0,49,3159,18,17,204,12,159,0
0,2,0,0,0,1,2,0,0,113,3861,9,6,144,14,136,0,1,0,1,2,0,0,49,3159,18,24,197,1,152,0
0,2,0,0,0,1,2,0,0,113,3861,8,17,144,17,139,0,1,0,1,2,0,0,49,3159,19,9,182,12,164,0
0,2,0,0,0,1,2,0,0,113,3861,7,18,146,14,139,0,1,0,1,2,0,0,49,3159,17,8,255,19,134,0
0,2,0,0,0,1,2,0,0,113,3861,7,17,145,17,141,0,1,0,1,2,0,0,45,2808,12,26,139,-8,124,0
0,2,0,0,0,1,2,0,0,113,3861,8,16,145,19,139,0,1,0,1,2,0,0,45,2808,13,14,109,7,113,0
0,2,0,0,0,1,2,0,0,113,3861,6,19,143,15,144,0,1,0,1,2,0,0,45,2808,11,18,135,6,152,0
